Key,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ammoGrenadeFire,Ultimate Tier 1 Molotov Cocktail,Ultimate Tier 1 Molotow-Cocktail,Cóctel Molotov Ultimate Tier 1,Cocktail Molotov Ultimate Tier 1,Cocktail Molotov Ultimate Tier 1,アルティメット ティア1 火炎瓶,얼티밋 티어 1 화염병,Ultimate Tier 1 Koktajl Mołotowa,Coquetel Molotov Ultimate Tier 1,Коктейль Молотова Ультимат Тир 1,Ultimate Tier 1 Molotof Kokteyli,终极一级燃烧瓶,終極一級燃燒瓶
U1MolotovCocktail,Ultimate Tier 1 Molotov Cocktail,Ultimate Tier 1 Molotow-Cocktail,Cóctel Molotov Ultimate Tier 1,Cocktail Molotov Ultimate Tier 1,Cocktail Molotov Ultimate Tier 1,アルティメット ティア1 火炎瓶,얼티밋 티어 1 화염병,Ultimate Tier 1 Koktajl Mołotowa,Coquetel Molotov Ultimate Tier 1,Коктейль Молотова Ультимат Тир 1,Ultimate Tier 1 Molotof Kokteyli,终极一级燃烧瓶,終極一級燃燒瓶
U1MolotovCocktailDesc,Ultimate Tier 1 Molotov Cocktail\n\n[00FF00]Its difference from normal molotov is its duration and area of ​​effect.\n\nDamage Target: player-zombie-feral-radiated-animals,Ultimate Tier 1 Molotow-Cocktail\n\n[00FF00]Der Unterschied zum normalen Molotow liegt in der Dauer und dem Wirkungsbereich.\n\nSchadensziel: Spieler-Zombie-Wilde-Verstrahlte-Tiere,Cóctel Molotov Ultimate Tier 1\n\n[00FF00]Su diferencia con el molotov normal es su duración y área de efecto.\n\nObjetivo de daño: jugador-zombie-feral-radiado-animales,Cocktail Molotov Ultimate Tier 1\n\n[00FF00]Sa différence avec le molotov normal est sa durée et sa zone d'effet.\n\nCible de dégâts: joueur-zombie-sauvage-irradié-animaux,Cocktail Molotov Ultimate Tier 1\n\n[00FF00]La sua differenza dal molotov normale è la durata e l'area di effetto.\n\nBersaglio danni: giocatore-zombie-selvaggio-irradiato-animali,アルティメット ティア1 火炎瓶\n\n[00FF00]通常の火炎瓶との違いは持続時間と効果範囲です。\n\nダメージ対象: プレイヤー-ゾンビ-フェラル-放射能汚染-動物,얼티밋 티어 1 화염병\n\n[00FF00]일반 화염병과의 차이점은 지속시간과 효과 범위입니다.\n\n피해 대상: 플레이어-좀비-야생-방사능-동물,Ultimate Tier 1 Koktajl Mołotowa\n\n[00FF00]Różnica od normalnego koktajlu Mołotowa to czas trwania i obszar działania.\n\nCel obrażeń: gracz-zombie-dziki-napromieniowany-zwierzęta,Coquetel Molotov Ultimate Tier 1\n\n[00FF00]Sua diferença do molotov normal é sua duração e área de efeito.\n\nAlvo de dano: jogador-zumbi-feral-radiado-animais,Коктейль Молотова Ультимат Тир 1\n\n[00FF00]Его отличие от обычного молотова в продолжительности и области действия.\n\nЦель урона: игрок-зомби-дикий-облученный-животные,Ultimate Tier 1 Molotof Kokteyli\n\n[00FF00]Normal molotofdan farkı süresi ve etki alanıdır.\n\nHasar Alanlar: oyuncu-zombiler-vahşiler-radrasyonlu zombiler-hayvanlar,终极一级燃烧瓶\n\n[00FF00]与普通燃烧瓶的区别在于持续时间和作用范围。\n\n伤害目标: 玩家-僵尸-野蛮-辐射-动物,終極一級燃燒瓶\n\n[00FF00]與普通燃燒瓶的區別在於持續時間和作用範圍。\n\n傷害目標: 玩家-殭屍-野蠻-輻射-動物
ammoGrenadeFire,Ultimate Tier 2 Molotov Cocktail,Ultimate Tier 2 Molotow-Cocktail,Cóctel Molotov Ultimate Tier 2,Cocktail Molotov Ultimate Tier 2,Cocktail Molotov Ultimate Tier 2,アルティメット ティア2 火炎瓶,얼티밋 티어 2 화염병,Ultimate Tier 2 Koktajl Mołotowa,Coquetel Molotov Ultimate Tier 2,Коктейль Молотова Ультимат Тир 2,Ultimate Tier 2 Molotof Kokteyli,终极二级燃烧瓶,終極二級燃燒瓶
U2MolotovCocktail,Ultimate Tier 2 Molotov Cocktail,Ultimate Tier 2 Molotow-Cocktail,Cóctel Molotov Ultimate Tier 2,Cocktail Molotov Ultimate Tier 2,Cocktail Molotov Ultimate Tier 2,アルティメット ティア2 火炎瓶,얼티밋 티어 2 화염병,Ultimate Tier 2 Koktajl Mołotowa,Coquetel Molotov Ultimate Tier 2,Коктейль Молотова Ультимат Тир 2,Ultimate Tier 2 Molotof Kokteyli,终极二级燃烧瓶,終極二級燃燒瓶
U2MolotovCocktailDesc,Ultimate Tier 2 Molotov Cocktail\n\n[00FFFF]Its difference from normal molotov is its duration and area of ​​effect.\n\nDamage Target: zombie-feral-radiated-animals,Ultimate Tier 2 Molotow-Cocktail\n\n[00FFFF]Der Unterschied zum normalen Molotow liegt in der Dauer und dem Wirkungsbereich.\n\nSchadensziel: Zombie-Wilde-Verstrahlte-Tiere,Cóctel Molotov Ultimate Tier 2\n\n[00FFFF]Su diferencia con el molotov normal es su duración y área de efecto.\n\nObjetivo de daño: zombie-feral-radiado-animales,Cocktail Molotov Ultimate Tier 2\n\n[00FFFF]Sa différence avec le molotov normal est sa durée et sa zone d'effet.\n\nCible de dégâts: zombie-sauvage-irradié-animaux,Cocktail Molotov Ultimate Tier 2\n\n[00FFFF]La sua differenza dal molotov normale è la durata e l'area di effetto.\n\nBersaglio danni: zombie-selvaggio-irradiato-animali,アルティメット ティア2 火炎瓶\n\n[00FFFF]通常の火炎瓶との違いは持続時間と効果範囲です。\n\nダメージ対象: ゾンビ-フェラル-放射能汚染-動物,얼티밋 티어 2 화염병\n\n[00FFFF]일반 화염병과의 차이점은 지속시간과 효과 범위입니다.\n\n피해 대상: 좀비-야생-방사능-동물,Ultimate Tier 2 Koktajl Mołotowa\n\n[00FFFF]Różnica od normalnego koktajlu Mołotowa to czas trwania i obszar działania.\n\nCel obrażeń: zombie-dziki-napromieniowany-zwierzęta,Coquetel Molotov Ultimate Tier 2\n\n[00FFFF]Sua diferença do molotov normal é sua duração e área de efeito.\n\nAlvo de dano: zumbi-feral-radiado-animais,Коктейль Молотова Ультимат Тир 2\n\n[00FFFF]Его отличие от обычного молотова в продолжительности и области действия.\n\nЦель урона: зомби-дикий-облученный-животные,Ultimate Tier 2 Molotof Kokteyli\n\n[00FFFF]Normal molotofdan farkı süresi ve etki alanıdır.\n\nHasar Alanlar: zombiler-vahşiler-radrasyonlu zombiler-hayvanlar,终极二级燃烧瓶\n\n[00FFFF]与普通燃烧瓶的区别在于持续时间和作用范围。\n\n伤害目标: 僵尸-野蛮-辐射-动物,終極二級燃燒瓶\n\n[00FFFF]與普通燃燒瓶的區別在於持續時間和作用範圍。\n\n傷害目標: 殭屍-野蠻-輻射-動物
ammoGrenadeFire,Ultimate Tier 3 Molotov Cocktail,Ultimate Tier 3 Molotow-Cocktail,Cóctel Molotov Ultimate Tier 3,Cocktail Molotov Ultimate Tier 3,Cocktail Molotov Ultimate Tier 3,アルティメット ティア3 火炎瓶,얼티밋 티어 3 화염병,Ultimate Tier 3 Koktajl Mołotowa,Coquetel Molotov Ultimate Tier 3,Коктейль Молотова Ультимат Тир 3,Ultimate Tier 3 Molotof Kokteyli,终极三级燃烧瓶,終極三級燃燒瓶
U3MolotovCocktail,Ultimate Tier 3 Molotov Cocktail,Ultimate Tier 3 Molotow-Cocktail,Cóctel Molotov Ultimate Tier 3,Cocktail Molotov Ultimate Tier 3,Cocktail Molotov Ultimate Tier 3,アルティメット ティア3 火炎瓶,얼티밋 티어 3 화염병,Ultimate Tier 3 Koktajl Mołotowa,Coquetel Molotov Ultimate Tier 3,Коктейль Молотова Ультимат Тир 3,Ultimate Tier 3 Molotof Kokteyli,终极三级燃烧瓶,終極三級燃燒瓶
U3MolotovCocktailDesc,Ultimate Tier 3 Molotov Cocktail\n\n[FFFF00]Its difference from normal molotov is its duration and area of ​​effect.\n\nDamage Target: feral-radiated ,Ultimate Tier 3 Molotow-Cocktail\n\n[FFFF00]Der Unterschied zum normalen Molotow liegt in der Dauer und dem Wirkungsbereich.\n\nSchadensziel: Wilde-Verstrahlte,Cóctel Molotov Ultimate Tier 3\n\n[FFFF00]Su diferencia con el molotov normal es su duración y área de efecto.\n\nObjetivo de daño: feral-radiado,Cocktail Molotov Ultimate Tier 3\n\n[FFFF00]Sa différence avec le molotov normal est sa durée et sa zone d'effet.\n\nCible de dégâts: sauvage-irradié,Cocktail Molotov Ultimate Tier 3\n\n[FFFF00]La sua differenza dal molotov normale è la durata e l'area di effetto.\n\nBersaglio danni: selvaggio-irradiato,アルティメット ティア3 火炎瓶\n\n[FFFF00]通常の火炎瓶との違いは持続時間と効果範囲です。\n\nダメージ対象: フェラル-放射能汚染,얼티밋 티어 3 화염병\n\n[FFFF00]일반 화염병과의 차이점은 지속시간과 효과 범위입니다.\n\n피해 대상: 야생-방사능,Ultimate Tier 3 Koktajl Mołotowa\n\n[FFFF00]Różnica od normalnego koktajlu Mołotowa to czas trwania i obszar działania.\n\nCel obrażeń: dziki-napromieniowany,Coquetel Molotov Ultimate Tier 3\n\n[FFFF00]Sua diferença do molotov normal é sua duração e área de efeito.\n\nAlvo de dano: feral-radiado,Коктейль Молотова Ультимат Тир 3\n\n[FFFF00]Его отличие от обычного молотова в продолжительности и области действия.\n\nЦель урона: дикий-облученный,Ultimate Tier 3 Molotof Kokteyli\n\n[FFFF00]Normal molotofdan farkı süresi ve etki alanıdır.\n\nHasar Alanlar: vahşiler-radrasyonlu,终极三级燃烧瓶\n\n[FFFF00]与普通燃烧瓶的区别在于持续时间和作用范围。\n\n伤害目标: 野蛮-辐射,終極三級燃燒瓶\n\n[FFFF00]與普通燃燒瓶的區別在於持續時間和作用範圍。\n\n傷害目標: 野蠻-輻射
ammoGrenadeFire,Ultimate Tier 4 Molotov Cocktail,Ultimate Tier 4 Molotow-Cocktail,Cóctel Molotov Ultimate Tier 4,Cocktail Molotov Ultimate Tier 4,Cocktail Molotov Ultimate Tier 4,アルティメット ティア4 火炎瓶,얼티밋 티어 4 화염병,Ultimate Tier 4 Koktajl Mołotowa,Coquetel Molotov Ultimate Tier 4,Коктейль Молотова Ультимат Тир 4,Ultimate Tier 4 Molotof Kokteyli,终极四级燃烧瓶,終極四級燃燒瓶
